PixR<Rn>C<Cn>Cfg0/pixeConfig[7:0],0x5C
PixR<Rn>C<Cn>Cfg1/pixeConfig[15:8],0x06
PixR<Rn>C<Cn>Cfg2/pixeConfig[23:16],0x0F
PixR<Rn>C<Cn>Cfg3/pixeConfig[31:24],0x05
PixR<Rn>C<Cn>Cfg4/pixeConfig[39:32],0x00
PixR<Rn>C<Cn>Cfg5/pixeConfig[47:40],0x28
PixR<Rn>C<Cn>Cfg6/pixeConfig[55:48],0xC2
PixR<Rn>C<Cn>Cfg7/pixeConfig[63:56],0x01
PixR<Rn>C<Cn>Cfg8/pixeConfig[71:64],0x01
PixR<Rn>C<Cn>Cfg9/pixeConfig[79:72],0x00
PixR<Rn>C<Cn>Cfg10/pixeConfig[87:80],0x10
PixR<Rn>C<Cn>Cfg11/pixeConfig[95:88],0x00
PixR<Rn>C<Cn>Cfg12/pixeConfig[103:96],0x01
PixR<Rn>C<Cn>Cfg13/pixeConfig[111:104],0x02
PixR<Rn>C<Cn>Cfg14/pixeConfig[119:112],0x10
PixR<Rn>C<Cn>Cfg15/pixeConfig[127:120],0x10
PixR<Rn>C<Cn>Cfg16/pixeConfig[135:128],0x00
PixR<Rn>C<Cn>Cfg17/pixeConfig[143:136],0x42
PixR<Rn>C<Cn>Cfg18/pixeConfig[151:144],0x00
PixR<Rn>C<Cn>Cfg19/pixeConfig[159:152],0x20
PixR<Rn>C<Cn>Cfg20/pixeConfig[167:160],0x08
PixR<Rn>C<Cn>Cfg21/pixeConfig[175:168],0x00
PixR<Rn>C<Cn>Cfg22/pixeConfig[183:176],0x42
PixR<Rn>C<Cn>Cfg23/pixeConfig[191:184],0x00
PixR<Rn>C<Cn>Cfg24/pixeConfig[199:192],0x02
PixR<Rn>C<Cn>Cfg25/pixeConfig[207:200],0x00
PixR<Rn>C<Cn>Cfg26/pixeConfig[215:208],0x00
PixR<Rn>C<Cn>Cfg27/pixeConfig[223:216],0x00
PixR<Rn>C<Cn>Cfg28/pixeConfig[231:224],0x00
PixR<Rn>C<Cn>Cfg29/pixeConfig[239:232],0x00
PixR<Rn>C<Cn>Cfg30/pixeConfig[247:240],0x00
PixR<Rn>C<Cn>Cfg31/pixeConfig[255:248],0x00
PixR<Rn>C<Cn>Sta0,0x00
PixR<Rn>C<Cn>Sta1,0x01
PixR<Rn>C<Cn>Sta2,0x00
PixR<Rn>C<Cn>Sta3,0x00
PixR<Rn>C<Cn>Sta4,0x00
PixR<Rn>C<Cn>Sta5,0x00
PixR<Rn>C<Cn>Sta6,0x00
PixR<Rn>C<Cn>Sta7,0x00
PeriCfg0,0x2C
PeriCfg1,0x98
PeriCfg2,0x29
PeriCfg3,0x18
PeriCfg4,0x21
PeriCfg5,0x00
PeriCfg6,0x03
PeriCfg7,0xA3
PeriCfg8,0xE3
PeriCfg9,0xE3
PeriCfg10,0xD0
PeriCfg11,0x10
PeriCfg12,0x00
PeriCfg13,0x80
PeriCfg14,0xf0
PeriCfg15,0x60
PeriCfg16,0x90
PeriCfg17,0x98
PeriCfg18,0x00
PeriCfg19,0x56
PeriCfg20,0x40
PeriCfg21,0x2c
PeriCfg22,0x00
PeriCfg23,0x00
PeriCfg24,0x00
PeriCfg25,0x00
PeriCfg26,0xc5
PeriCfg27,0x8c
PeriCfg28,0xc7
PeriCfg29,0xac
PeriCfg30,0xbb
PeriCfg31,0x0b
